event_id,timestamp,receipt_id,sku,event_type,surface,metadata
INT-0002217,2026-01-23T22:14:57,RCPT-20260123-00214,P-0065,view,checkout_upsell,synthetic
INT-0002218,2026-01-23T22:14:57,RCPT-20260123-00214,P-0065,hover,checkout_upsell,synthetic
INT-0002219,2026-01-23T22:14:57,RCPT-20260123-00214,P-0056,view,checkout_upsell,synthetic
INT-0002220,2026-01-23T22:14:57,RCPT-20260123-00214,P-0056,hover,checkout_upsell,synthetic
INT-0002221,2026-01-23T22:14:57,RCPT-20260123-00214,P-0010,view,checkout_upsell,synthetic
INT-0002222,2026-01-23T22:14:57,RCPT-20260123-00214,P-0010,hover,checkout_upsell,synthetic
INT-0002223,2026-01-23T22:14:57,RCPT-20260123-00214,P-0019,view,checkout_upsell,synthetic
INT-0002224,2026-01-23T22:14:57,RCPT-20260123-00214,P-0019,hover,checkout_upsell,synthetic
INT-0002225,2026-01-23T22:14:57,RCPT-20260123-00214,P-0073,view,checkout_upsell,synthetic
INT-0002226,2026-01-23T22:14:57,RCPT-20260123-00214,P-0073,click,checkout_upsell,synthetic
INT-0002227,2026-01-23T22:14:57,RCPT-20260123-00214,P-0026,view,checkout_upsell,synthetic
INT-0002228,2026-01-23T22:14:57,RCPT-20260123-00214,P-0026,hover,checkout_upsell,synthetic
INT-0002229,2026-01-23T22:14:57,RCPT-20260123-00214,P-0026,click,checkout_upsell,synthetic
INT-0002230,2026-01-23T11:18:16,RCPT-20260123-00215,P-0025,view,checkout_upsell,synthetic
INT-0002231,2026-01-23T11:18:16,RCPT-20260123-00215,P-0025,hover,checkout_upsell,synthetic
INT-0002232,2026-01-23T11:18:16,RCPT-20260123-00215,P-0008,view,checkout_upsell,synthetic
INT-0002233,2026-01-23T11:18:16,RCPT-20260123-00215,P-0008,hover,checkout_upsell,synthetic
INT-0002234,2026-01-23T11:18:16,RCPT-20260123-00215,P-0056,view,checkout_upsell,synthetic
INT-0002235,2026-01-23T11:18:16,RCPT-20260123-00215,P-0056,hover,checkout_upsell,synthetic
INT-0002236,2026-01-23T11:18:16,RCPT-20260123-00215,P-0013,view,checkout_upsell,synthetic
INT-0002237,2026-01-23T11:18:16,RCPT-20260123-00215,P-0013,hover,checkout_upsell,synthetic
INT-0002238,2026-01-23T11:18:16,RCPT-20260123-00215,P-0020,view,checkout_upsell,synthetic
INT-0002239,2026-01-23T11:18:16,RCPT-20260123-00215,P-0070,view,checkout_upsell,synthetic
INT-0002240,2026-01-23T11:18:16,RCPT-20260123-00215,P-0070,hover,checkout_upsell,synthetic
INT-0002241,2026-01-23T14:07:34,RCPT-20260123-00216,P-0043,view,checkout_upsell,synthetic
INT-0002242,2026-01-23T14:07:34,RCPT-20260123-00216,P-0043,hover,checkout_upsell,synthetic
INT-0002243,2026-01-23T14:07:34,RCPT-20260123-00216,P-0059,view,checkout_upsell,synthetic
INT-0002244,2026-01-23T14:07:34,RCPT-20260123-00216,P-0023,view,checkout_upsell,synthetic
INT-0002245,2026-01-23T14:07:34,RCPT-20260123-00216,P-0023,hover,checkout_upsell,synthetic
INT-0002246,2026-01-23T14:07:34,RCPT-20260123-00216,P-0005,view,checkout_upsell,synthetic
INT-0002247,2026-01-23T14:07:34,RCPT-20260123-00216,P-0005,hover,checkout_upsell,synthetic
INT-0002248,2026-01-23T14:07:34,RCPT-20260123-00216,P-0075,view,checkout_upsell,synthetic
INT-0002249,2026-01-23T14:07:34,RCPT-20260123-00216,P-0039,view,checkout_upsell,synthetic
INT-0002250,2026-01-23T14:07:34,RCPT-20260123-00216,P-0039,hover,checkout_upsell,synthetic
INT-0002251,2026-01-23T14:07:34,RCPT-20260123-00216,P-0039,click,checkout_upsell,synthetic
INT-0002252,2026-01-23T16:03:43,RCPT-20260123-00217,P-0036,view,checkout_upsell,synthetic
INT-0002253,2026-01-23T16:03:43,RCPT-20260123-00217,P-0035,view,checkout_upsell,synthetic
INT-0002254,2026-01-23T16:03:43,RCPT-20260123-00217,P-0035,hover,checkout_upsell,synthetic
INT-0002255,2026-01-23T16:03:43,RCPT-20260123-00217,P-0035,click,checkout_upsell,synthetic
INT-0002256,2026-01-23T16:03:43,RCPT-20260123-00217,P-0024,view,checkout_upsell,synthetic
INT-0002257,2026-01-23T16:03:43,RCPT-20260123-00217,P-0024,hover,checkout_upsell,synthetic
INT-0002258,2026-01-23T16:03:43,RCPT-20260123-00217,P-0054,view,checkout_upsell,synthetic
INT-0002259,2026-01-23T16:03:43,RCPT-20260123-00217,P-0054,hover,checkout_upsell,synthetic
INT-0002260,2026-01-23T16:03:43,RCPT-20260123-00217,P-0058,view,checkout_upsell,synthetic
INT-0002261,2026-01-23T16:03:43,RCPT-20260123-00217,P-0058,hover,checkout_upsell,synthetic
INT-0002262,2026-01-23T16:03:43,RCPT-20260123-00217,P-0047,view,checkout_upsell,synthetic
INT-0002263,2026-01-23T16:03:43,RCPT-20260123-00217,P-0047,hover,checkout_upsell,synthetic
INT-0002264,2026-01-23T09:00:03,RCPT-20260123-00218,P-0008,view,checkout_upsell,synthetic
INT-0002265,2026-01-23T09:00:03,RCPT-20260123-00218,P-0008,hover,checkout_upsell,synthetic
INT-0002266,2026-01-23T09:00:03,RCPT-20260123-00218,P-0015,view,checkout_upsell,synthetic
INT-0002267,2026-01-23T09:00:03,RCPT-20260123-00218,P-0015,hover,checkout_upsell,synthetic
INT-0002268,2026-01-23T09:00:03,RCPT-20260123-00218,P-0023,view,checkout_upsell,synthetic
INT-0002269,2026-01-23T09:00:03,RCPT-20260123-00218,P-0023,hover,checkout_upsell,synthetic
INT-0002270,2026-01-23T09:00:03,RCPT-20260123-00218,P-0073,view,checkout_upsell,synthetic
INT-0002271,2026-01-23T09:00:03,RCPT-20260123-00218,P-0073,hover,checkout_upsell,synthetic
INT-0002272,2026-01-23T09:00:03,RCPT-20260123-00218,P-0007,view,checkout_upsell,synthetic
INT-0002273,2026-01-23T09:00:03,RCPT-20260123-00218,P-0024,view,checkout_upsell,synthetic
INT-0002274,2026-01-23T09:00:03,RCPT-20260123-00218,P-0024,hover,checkout_upsell,synthetic
INT-0002275,2026-01-23T18:28:51,RCPT-20260123-00219,P-0036,view,checkout_upsell,synthetic
INT-0002276,2026-01-23T18:28:51,RCPT-20260123-00219,P-0036,hover,checkout_upsell,synthetic
INT-0002277,2026-01-23T18:28:51,RCPT-20260123-00219,P-0037,view,checkout_upsell,synthetic
INT-0002278,2026-01-23T18:28:51,RCPT-20260123-00219,P-0032,view,checkout_upsell,synthetic
INT-0002279,2026-01-23T18:28:51,RCPT-20260123-00219,P-0032,hover,checkout_upsell,synthetic
INT-0002280,2026-01-23T18:28:51,RCPT-20260123-00219,P-0049,view,checkout_upsell,synthetic
INT-0002281,2026-01-23T18:28:51,RCPT-20260123-00219,P-0049,hover,checkout_upsell,synthetic
INT-0002282,2026-01-23T18:28:51,RCPT-20260123-00219,P-0039,view,checkout_upsell,synthetic
INT-0002283,2026-01-23T18:28:51,RCPT-20260123-00219,P-0044,view,checkout_upsell,synthetic
INT-0002284,2026-01-23T18:27:11,RCPT-20260123-00220,P-0069,view,checkout_upsell,synthetic
INT-0002285,2026-01-23T18:27:11,RCPT-20260123-00220,P-0069,hover,checkout_upsell,synthetic
INT-0002286,2026-01-23T18:27:11,RCPT-20260123-00220,P-0060,view,checkout_upsell,synthetic
INT-0002287,2026-01-23T18:27:11,RCPT-20260123-00220,P-0060,hover,checkout_upsell,synthetic
INT-0002288,2026-01-23T18:27:11,RCPT-20260123-00220,P-0043,view,checkout_upsell,synthetic
INT-0002289,2026-01-23T18:27:11,RCPT-20260123-00220,P-0043,hover,checkout_upsell,synthetic
INT-0002290,2026-01-23T18:27:11,RCPT-20260123-00220,P-0019,view,checkout_upsell,synthetic
INT-0002291,2026-01-23T18:27:11,RCPT-20260123-00220,P-0019,hover,checkout_upsell,synthetic
INT-0002292,2026-01-23T18:27:11,RCPT-20260123-00220,P-0053,view,checkout_upsell,synthetic
INT-0002293,2026-01-23T18:27:11,RCPT-20260123-00220,P-0009,view,checkout_upsell,synthetic
INT-0002294,2026-01-23T18:27:11,RCPT-20260123-00220,P-0009,click,checkout_upsell,synthetic
INT-0002295,2026-01-23T14:56:35,RCPT-20260123-00221,P-0012,view,checkout_upsell,synthetic
INT-0002296,2026-01-23T14:56:35,RCPT-20260123-00221,P-0036,view,checkout_upsell,synthetic
INT-0002297,2026-01-23T14:56:35,RCPT-20260123-00221,P-0030,view,checkout_upsell,synthetic
INT-0002298,2026-01-23T14:56:35,RCPT-20260123-00221,P-0003,view,checkout_upsell,synthetic
INT-0002299,2026-01-23T14:56:35,RCPT-20260123-00221,P-0003,click,checkout_upsell,synthetic
INT-0002300,2026-01-23T14:56:35,RCPT-20260123-00221,P-0052,view,checkout_upsell,synthetic
INT-0002301,2026-01-23T14:56:35,RCPT-20260123-00221,P-0052,hover,checkout_upsell,synthetic
INT-0002302,2026-01-23T14:56:35,RCPT-20260123-00221,P-0044,view,checkout_upsell,synthetic
INT-0002303,2026-01-23T17:32:20,RCPT-20260123-00222,P-0051,view,checkout_upsell,synthetic
INT-0002304,2026-01-23T17:32:20,RCPT-20260123-00222,P-0060,view,checkout_upsell,synthetic
INT-0002305,2026-01-23T17:32:20,RCPT-20260123-00222,P-0060,hover,checkout_upsell,synthetic
INT-0002306,2026-01-23T17:32:20,RCPT-20260123-00222,P-0068,view,checkout_upsell,synthetic
INT-0002307,2026-01-23T17:32:20,RCPT-20260123-00222,P-0068,hover,checkout_upsell,synthetic
INT-0002308,2026-01-23T17:32:20,RCPT-20260123-00222,P-0068,click,checkout_upsell,synthetic
INT-0002309,2026-01-23T17:32:20,RCPT-20260123-00222,P-0066,view,checkout_upsell,synthetic
INT-0002310,2026-01-23T17:32:20,RCPT-20260123-00222,P-0066,hover,checkout_upsell,synthetic
INT-0002311,2026-01-23T17:32:20,RCPT-20260123-00222,P-0072,view,checkout_upsell,synthetic
INT-0002312,2026-01-23T17:32:20,RCPT-20260123-00222,P-0072,click,checkout_upsell,synthetic
INT-0002313,2026-01-23T17:32:20,RCPT-20260123-00222,P-0062,view,checkout_upsell,synthetic
INT-0002314,2026-01-24T10:06:15,RCPT-20260124-00223,P-0067,view,checkout_upsell,synthetic
INT-0002315,2026-01-24T10:06:15,RCPT-20260124-00223,P-0026,view,checkout_upsell,synthetic
INT-0002316,2026-01-24T10:06:15,RCPT-20260124-00223,P-0026,hover,checkout_upsell,synthetic
INT-0002317,2026-01-24T10:06:15,RCPT-20260124-00223,P-0073,view,checkout_upsell,synthetic
INT-0002318,2026-01-24T10:06:15,RCPT-20260124-00223,P-0058,view,checkout_upsell,synthetic
INT-0002319,2026-01-24T10:06:15,RCPT-20260124-00223,P-0058,hover,checkout_upsell,synthetic
INT-0002320,2026-01-24T10:06:15,RCPT-20260124-00223,P-0004,view,checkout_upsell,synthetic
INT-0002321,2026-01-24T10:06:15,RCPT-20260124-00223,P-0004,click,checkout_upsell,synthetic
INT-0002322,2026-01-24T10:06:15,RCPT-20260124-00223,P-0072,view,checkout_upsell,synthetic
INT-0002323,2026-01-24T10:06:15,RCPT-20260124-00223,P-0072,hover,checkout_upsell,synthetic
INT-0002324,2026-01-24T10:06:15,RCPT-20260124-00223,P-0072,click,checkout_upsell,synthetic
INT-0002325,2026-01-24T17:20:51,RCPT-20260124-00224,P-0061,view,checkout_upsell,synthetic
INT-0002326,2026-01-24T17:20:51,RCPT-20260124-00224,P-0061,hover,checkout_upsell,synthetic
INT-0002327,2026-01-24T17:20:51,RCPT-20260124-00224,P-0012,view,checkout_upsell,synthetic
INT-0002328,2026-01-24T17:20:51,RCPT-20260124-00224,P-0012,hover,checkout_upsell,synthetic
INT-0002329,2026-01-24T17:20:51,RCPT-20260124-00224,P-0013,view,checkout_upsell,synthetic
INT-0002330,2026-01-24T17:20:51,RCPT-20260124-00224,P-0013,hover,checkout_upsell,synthetic
INT-0002331,2026-01-24T17:20:51,RCPT-20260124-00224,P-0067,view,checkout_upsell,synthetic
INT-0002332,2026-01-24T17:20:51,RCPT-20260124-00224,P-0067,hover,checkout_upsell,synthetic
INT-0002333,2026-01-24T17:20:51,RCPT-20260124-00224,P-0024,view,checkout_upsell,synthetic
INT-0002334,2026-01-24T17:20:51,RCPT-20260124-00224,P-0016,view,checkout_upsell,synthetic
INT-0002335,2026-01-24T11:38:14,RCPT-20260124-00225,P-0074,view,checkout_upsell,synthetic
INT-0002336,2026-01-24T11:38:14,RCPT-20260124-00225,P-0074,hover,checkout_upsell,synthetic
INT-0002337,2026-01-24T11:38:14,RCPT-20260124-00225,P-0074,click,checkout_upsell,synthetic
INT-0002338,2026-01-24T11:38:14,RCPT-20260124-00225,P-0068,view,checkout_upsell,synthetic
INT-0002339,2026-01-24T11:38:14,RCPT-20260124-00225,P-0023,view,checkout_upsell,synthetic
INT-0002340,2026-01-24T11:38:14,RCPT-20260124-00225,P-0023,hover,checkout_upsell,synthetic
INT-0002341,2026-01-24T11:38:14,RCPT-20260124-00225,P-0073,view,checkout_upsell,synthetic
INT-0002342,2026-01-24T11:38:14,RCPT-20260124-00225,P-0073,hover,checkout_upsell,synthetic
INT-0002343,2026-01-24T11:38:14,RCPT-20260124-00225,P-0066,view,checkout_upsell,synthetic
INT-0002344,2026-01-24T11:38:14,RCPT-20260124-00225,P-0066,click,checkout_upsell,synthetic
INT-0002345,2026-01-24T11:38:14,RCPT-20260124-00225,P-0058,view,checkout_upsell,synthetic
INT-0002346,2026-01-24T20:07:54,RCPT-20260124-00226,P-0003,view,checkout_upsell,synthetic
INT-0002347,2026-01-24T20:07:54,RCPT-20260124-00226,P-0003,hover,checkout_upsell,synthetic
INT-0002348,2026-01-24T20:07:54,RCPT-20260124-00226,P-0024,view,checkout_upsell,synthetic
INT-0002349,2026-01-24T20:07:54,RCPT-20260124-00226,P-0024,hover,checkout_upsell,synthetic
INT-0002350,2026-01-24T20:07:54,RCPT-20260124-00226,P-0039,view,checkout_upsell,synthetic
INT-0002351,2026-01-24T20:07:54,RCPT-20260124-00226,P-0039,hover,checkout_upsell,synthetic
INT-0002352,2026-01-24T20:07:54,RCPT-20260124-00226,P-0058,view,checkout_upsell,synthetic
INT-0002353,2026-01-24T20:07:54,RCPT-20260124-00226,P-0058,hover,checkout_upsell,synthetic
INT-0002354,2026-01-24T20:07:54,RCPT-20260124-00226,P-0076,view,checkout_upsell,synthetic
INT-0002355,2026-01-24T20:07:54,RCPT-20260124-00226,P-0047,view,checkout_upsell,synthetic
INT-0002356,2026-01-24T20:07:54,RCPT-20260124-00226,P-0047,click,checkout_upsell,synthetic
INT-0002357,2026-01-24T19:35:44,RCPT-20260124-00227,P-0035,view,checkout_upsell,synthetic
INT-0002358,2026-01-24T19:35:44,RCPT-20260124-00227,P-0054,view,checkout_upsell,synthetic
INT-0002359,2026-01-24T19:35:44,RCPT-20260124-00227,P-0054,hover,checkout_upsell,synthetic
INT-0002360,2026-01-24T19:35:44,RCPT-20260124-00227,P-0054,click,checkout_upsell,synthetic
INT-0002361,2026-01-24T19:35:44,RCPT-20260124-00227,P-0038,view,checkout_upsell,synthetic
INT-0002362,2026-01-24T19:35:44,RCPT-20260124-00227,P-0038,hover,checkout_upsell,synthetic
INT-0002363,2026-01-24T19:35:44,RCPT-20260124-00227,P-0038,click,checkout_upsell,synthetic
INT-0002364,2026-01-24T19:35:44,RCPT-20260124-00227,P-0055,view,checkout_upsell,synthetic
INT-0002365,2026-01-24T19:35:44,RCPT-20260124-00227,P-0007,view,checkout_upsell,synthetic
INT-0002366,2026-01-24T19:35:44,RCPT-20260124-00227,P-0007,hover,checkout_upsell,synthetic
INT-0002367,2026-01-24T19:35:44,RCPT-20260124-00227,P-0075,view,checkout_upsell,synthetic
INT-0002368,2026-01-24T19:35:44,RCPT-20260124-00227,P-0075,hover,checkout_upsell,synthetic
INT-0002369,2026-01-24T21:49:36,RCPT-20260124-00228,P-0048,view,checkout_upsell,synthetic
INT-0002370,2026-01-24T21:49:36,RCPT-20260124-00228,P-0048,click,checkout_upsell,synthetic
INT-0002371,2026-01-24T21:49:36,RCPT-20260124-00228,P-0001,view,checkout_upsell,synthetic
INT-0002372,2026-01-24T21:49:36,RCPT-20260124-00228,P-0067,view,checkout_upsell,synthetic
INT-0002373,2026-01-24T21:49:36,RCPT-20260124-00228,P-0067,hover,checkout_upsell,synthetic
INT-0002374,2026-01-24T21:49:36,RCPT-20260124-00228,P-0072,view,checkout_upsell,synthetic
INT-0002375,2026-01-24T21:49:36,RCPT-20260124-00228,P-0072,hover,checkout_upsell,synthetic
INT-0002376,2026-01-24T21:49:36,RCPT-20260124-00228,P-0064,view,checkout_upsell,synthetic
INT-0002377,2026-01-24T21:49:36,RCPT-20260124-00228,P-0052,view,checkout_upsell,synthetic
INT-0002378,2026-01-24T21:49:36,RCPT-20260124-00228,P-0052,hover,checkout_upsell,synthetic
INT-0002379,2026-01-24T10:21:47,RCPT-20260124-00229,P-0027,view,checkout_upsell,synthetic
INT-0002380,2026-01-24T10:21:47,RCPT-20260124-00229,P-0027,hover,checkout_upsell,synthetic
INT-0002381,2026-01-24T10:21:47,RCPT-20260124-00229,P-0046,view,checkout_upsell,synthetic
INT-0002382,2026-01-24T10:21:47,RCPT-20260124-00229,P-0046,hover,checkout_upsell,synthetic
INT-0002383,2026-01-24T10:21:47,RCPT-20260124-00229,P-0046,click,checkout_upsell,synthetic
INT-0002384,2026-01-24T10:21:47,RCPT-20260124-00229,P-0020,view,checkout_upsell,synthetic
INT-0002385,2026-01-24T10:21:47,RCPT-20260124-00229,P-0020,hover,checkout_upsell,synthetic
INT-0002386,2026-01-24T10:21:47,RCPT-20260124-00229,P-0014,view,checkout_upsell,synthetic
INT-0002387,2026-01-24T10:21:47,RCPT-20260124-00229,P-0014,hover,checkout_upsell,synthetic
INT-0002388,2026-01-24T10:21:47,RCPT-20260124-00229,P-0014,click,checkout_upsell,synthetic
INT-0002389,2026-01-24T10:21:47,RCPT-20260124-00229,P-0045,view,checkout_upsell,synthetic
INT-0002390,2026-01-24T10:21:47,RCPT-20260124-00229,P-0045,hover,checkout_upsell,synthetic
INT-0002391,2026-01-24T10:21:47,RCPT-20260124-00229,P-0045,click,checkout_upsell,synthetic
INT-0002392,2026-01-24T10:21:47,RCPT-20260124-00229,P-0047,view,checkout_upsell,synthetic
INT-0002393,2026-01-24T11:15:44,RCPT-20260124-00230,P-0048,view,checkout_upsell,synthetic
INT-0002394,2026-01-24T11:15:44,RCPT-20260124-00230,P-0034,view,checkout_upsell,synthetic
INT-0002395,2026-01-24T11:15:44,RCPT-20260124-00230,P-0034,hover,checkout_upsell,synthetic
INT-0002396,2026-01-24T11:15:44,RCPT-20260124-00230,P-0050,view,checkout_upsell,synthetic
INT-0002397,2026-01-24T11:15:44,RCPT-20260124-00230,P-0050,click,checkout_upsell,synthetic
INT-0002398,2026-01-24T11:15:44,RCPT-20260124-00230,P-0011,view,checkout_upsell,synthetic
INT-0002399,2026-01-24T11:15:44,RCPT-20260124-00230,P-0011,hover,checkout_upsell,synthetic
INT-0002400,2026-01-24T11:15:44,RCPT-20260124-00230,P-0064,view,checkout_upsell,synthetic
INT-0002401,2026-01-24T11:15:44,RCPT-20260124-00230,P-0047,view,checkout_upsell,synthetic
INT-0002402,2026-01-24T11:15:44,RCPT-20260124-00230,P-0047,hover,checkout_upsell,synthetic
INT-0002403,2026-01-25T16:24:06,RCPT-20260125-00231,P-0060,view,checkout_upsell,synthetic
INT-0002404,2026-01-25T16:24:06,RCPT-20260125-00231,P-0003,view,checkout_upsell,synthetic
INT-0002405,2026-01-25T16:24:06,RCPT-20260125-00231,P-0010,view,checkout_upsell,synthetic
INT-0002406,2026-01-25T16:24:06,RCPT-20260125-00231,P-0057,view,checkout_upsell,synthetic
INT-0002407,2026-01-25T16:24:06,RCPT-20260125-00231,P-0005,view,checkout_upsell,synthetic
INT-0002408,2026-01-25T16:24:06,RCPT-20260125-00231,P-0024,view,checkout_upsell,synthetic
INT-0002409,2026-01-25T16:24:06,RCPT-20260125-00231,P-0024,hover,checkout_upsell,synthetic
INT-0002410,2026-01-25T10:56:24,RCPT-20260125-00232,P-0012,view,checkout_upsell,synthetic
INT-0002411,2026-01-25T10:56:24,RCPT-20260125-00232,P-0003,view,checkout_upsell,synthetic
INT-0002412,2026-01-25T10:56:24,RCPT-20260125-00232,P-0003,hover,checkout_upsell,synthetic
INT-0002413,2026-01-25T10:56:24,RCPT-20260125-00232,P-0037,view,checkout_upsell,synthetic
INT-0002414,2026-01-25T10:56:24,RCPT-20260125-00232,P-0037,hover,checkout_upsell,synthetic
INT-0002415,2026-01-25T10:56:24,RCPT-20260125-00232,P-0037,click,checkout_upsell,synthetic
INT-0002416,2026-01-25T10:56:24,RCPT-20260125-00232,P-0070,view,checkout_upsell,synthetic
INT-0002417,2026-01-25T10:56:24,RCPT-20260125-00232,P-0017,view,checkout_upsell,synthetic
INT-0002418,2026-01-25T10:56:24,RCPT-20260125-00232,P-0058,view,checkout_upsell,synthetic
INT-0002419,2026-01-25T10:56:24,RCPT-20260125-00232,P-0058,hover,checkout_upsell,synthetic
INT-0002420,2026-01-25T10:56:24,RCPT-20260125-00232,P-0058,click,checkout_upsell,synthetic
INT-0002421,2026-01-25T09:21:13,RCPT-20260125-00233,P-0037,view,checkout_upsell,synthetic
INT-0002422,2026-01-25T09:21:13,RCPT-20260125-00233,P-0037,hover,checkout_upsell,synthetic
INT-0002423,2026-01-25T09:21:13,RCPT-20260125-00233,P-0028,view,checkout_upsell,synthetic
INT-0002424,2026-01-25T09:21:13,RCPT-20260125-00233,P-0028,hover,checkout_upsell,synthetic
INT-0002425,2026-01-25T09:21:13,RCPT-20260125-00233,P-0056,view,checkout_upsell,synthetic
INT-0002426,2026-01-25T09:21:13,RCPT-20260125-00233,P-0046,view,checkout_upsell,synthetic
INT-0002427,2026-01-25T09:21:13,RCPT-20260125-00233,P-0046,click,checkout_upsell,synthetic
INT-0002428,2026-01-25T09:21:13,RCPT-20260125-00233,P-0057,view,checkout_upsell,synthetic
INT-0002429,2026-01-25T09:21:13,RCPT-20260125-00233,P-0064,view,checkout_upsell,synthetic
INT-0002430,2026-01-25T09:21:13,RCPT-20260125-00233,P-0064,hover,checkout_upsell,synthetic
INT-0002431,2026-01-25T10:03:23,RCPT-20260125-00234,P-0027,view,checkout_upsell,synthetic
INT-0002432,2026-01-25T10:03:23,RCPT-20260125-00234,P-0059,view,checkout_upsell,synthetic
INT-0002433,2026-01-25T10:03:23,RCPT-20260125-00234,P-0059,hover,checkout_upsell,synthetic
INT-0002434,2026-01-25T10:03:23,RCPT-20260125-00234,P-0029,view,checkout_upsell,synthetic
INT-0002435,2026-01-25T10:03:23,RCPT-20260125-00234,P-0029,hover,checkout_upsell,synthetic
INT-0002436,2026-01-25T10:03:23,RCPT-20260125-00234,P-0007,view,checkout_upsell,synthetic
INT-0002437,2026-01-25T10:03:23,RCPT-20260125-00234,P-0007,hover,checkout_upsell,synthetic
INT-0002438,2026-01-25T10:03:23,RCPT-20260125-00234,P-0064,view,checkout_upsell,synthetic
INT-0002439,2026-01-25T10:03:23,RCPT-20260125-00234,P-0064,hover,checkout_upsell,synthetic
INT-0002440,2026-01-25T10:03:23,RCPT-20260125-00234,P-0009,view,checkout_upsell,synthetic
INT-0002441,2026-01-25T12:50:25,RCPT-20260125-00235,P-0061,view,checkout_upsell,synthetic
INT-0002442,2026-01-25T12:50:25,RCPT-20260125-00235,P-0061,hover,checkout_upsell,synthetic
INT-0002443,2026-01-25T12:50:25,RCPT-20260125-00235,P-0025,view,checkout_upsell,synthetic
INT-0002444,2026-01-25T12:50:25,RCPT-20260125-00235,P-0025,hover,checkout_upsell,synthetic
INT-0002445,2026-01-25T12:50:25,RCPT-20260125-00235,P-0006,view,checkout_upsell,synthetic
INT-0002446,2026-01-25T12:50:25,RCPT-20260125-00235,P-0006,hover,checkout_upsell,synthetic
INT-0002447,2026-01-25T12:50:25,RCPT-20260125-00235,P-0002,view,checkout_upsell,synthetic
INT-0002448,2026-01-25T12:50:25,RCPT-20260125-00235,P-0002,click,checkout_upsell,synthetic
INT-0002449,2026-01-25T12:50:25,RCPT-20260125-00235,P-0057,view,checkout_upsell,synthetic
INT-0002450,2026-01-25T12:50:25,RCPT-20260125-00235,P-0057,hover,checkout_upsell,synthetic
INT-0002451,2026-01-25T12:50:25,RCPT-20260125-00235,P-0073,view,checkout_upsell,synthetic
INT-0002452,2026-01-25T17:03:09,RCPT-20260125-00236,P-0003,view,checkout_upsell,synthetic
INT-0002453,2026-01-25T17:03:09,RCPT-20260125-00236,P-0003,click,checkout_upsell,synthetic
INT-0002454,2026-01-25T17:03:09,RCPT-20260125-00236,P-0046,view,checkout_upsell,synthetic
INT-0002455,2026-01-25T17:03:09,RCPT-20260125-00236,P-0046,hover,checkout_upsell,synthetic
INT-0002456,2026-01-25T17:03:09,RCPT-20260125-00236,P-0057,view,checkout_upsell,synthetic
INT-0002457,2026-01-25T17:03:09,RCPT-20260125-00236,P-0072,view,checkout_upsell,synthetic
INT-0002458,2026-01-25T17:03:09,RCPT-20260125-00236,P-0072,hover,checkout_upsell,synthetic
INT-0002459,2026-01-25T17:03:09,RCPT-20260125-00236,P-0062,view,checkout_upsell,synthetic
INT-0002460,2026-01-25T17:03:09,RCPT-20260125-00236,P-0039,view,checkout_upsell,synthetic
INT-0002461,2026-01-25T15:19:05,RCPT-20260125-00237,P-0051,view,checkout_upsell,synthetic
INT-0002462,2026-01-25T15:19:05,RCPT-20260125-00237,P-0051,hover,checkout_upsell,synthetic
INT-0002463,2026-01-25T15:19:05,RCPT-20260125-00237,P-0059,view,checkout_upsell,synthetic
INT-0002464,2026-01-25T15:19:05,RCPT-20260125-00237,P-0071,view,checkout_upsell,synthetic
INT-0002465,2026-01-25T15:19:05,RCPT-20260125-00237,P-0071,hover,checkout_upsell,synthetic
INT-0002466,2026-01-25T15:19:05,RCPT-20260125-00237,P-0066,view,checkout_upsell,synthetic
INT-0002467,2026-01-25T15:19:05,RCPT-20260125-00237,P-0066,hover,checkout_upsell,synthetic
INT-0002468,2026-01-25T15:19:05,RCPT-20260125-00237,P-0004,view,checkout_upsell,synthetic
INT-0002469,2026-01-25T15:19:05,RCPT-20260125-00237,P-0072,view,checkout_upsell,synthetic
INT-0002470,2026-01-25T15:19:05,RCPT-20260125-00237,P-0072,hover,checkout_upsell,synthetic
INT-0002471,2026-01-25T08:27:05,RCPT-20260125-00238,P-0034,view,checkout_upsell,synthetic
INT-0002472,2026-01-25T08:27:05,RCPT-20260125-00238,P-0034,hover,checkout_upsell,synthetic
INT-0002473,2026-01-25T08:27:05,RCPT-20260125-00238,P-0071,view,checkout_upsell,synthetic
INT-0002474,2026-01-25T08:27:05,RCPT-20260125-00238,P-0071,hover,checkout_upsell,synthetic
INT-0002475,2026-01-25T08:27:05,RCPT-20260125-00238,P-0005,view,checkout_upsell,synthetic
INT-0002476,2026-01-25T08:27:05,RCPT-20260125-00238,P-0049,view,checkout_upsell,synthetic
INT-0002477,2026-01-25T08:27:05,RCPT-20260125-00238,P-0049,hover,checkout_upsell,synthetic
INT-0002478,2026-01-25T08:27:05,RCPT-20260125-00238,P-0039,view,checkout_upsell,synthetic
INT-0002479,2026-01-25T08:27:05,RCPT-20260125-00238,P-0016,view,checkout_upsell,synthetic
INT-0002480,2026-01-25T08:27:05,RCPT-20260125-00238,P-0016,hover,checkout_upsell,synthetic
INT-0002481,2026-01-25T20:44:39,RCPT-20260125-00239,P-0035,view,checkout_upsell,synthetic
INT-0002482,2026-01-25T20:44:39,RCPT-20260125-00239,P-0010,view,checkout_upsell,synthetic
